unitid,year,f1b01,f1b02,f1b03,f1c011,f1d01,f2e011,f2b01,f2b04
100654,2017,46521234,22649440,1055563,36797673,159577824,,,
100663,2017,209220942,354409094,10548285,310526699,3070308614,,,
100706,2017,62397294,72467222,4117407,69698533,226808615,,,
100724,2017,45278161,12868155,3676089,40147376,143188470,,,
100733,2017,0,0,0,0,21884517,,,
100751,2017,482761041,38142961,31261415,387462769,1282802754,,,
100760,2017,2117216,1819725,1271826,9028844,20410375,,,
100812,2017,15426295,411794,2848429,18422991,37510782,,,
100830,2017,34236701,1595103,7153526,29433182,92821610,,,
100858,2017,417441869,86081756,8472091,325435648,1103147076,,,
101028,2017,2474365,230722,460605,5431809,13952547,,,
101143,2017,3385020,1980152,1980638,8195505,21796202,,,
101161,2017,7501132,1061047,1947571,15509513,36403441,,,
101240,2017,6877393,4867444,1749259,24731371,49558446,,,
101286,2017,7584492,2555411,1128984,17439917,38750321,,,
101295,2017,12701643,2538961,1008237,21897601,49555013,,,
101301,2017,1868889,1999615,2748394,5541887,20648739,,,
101462,2017,1177840,2261812,417304,3312102,10680367,,,
101471,2017,19256,2645273,2025591,6879550,13056170,,,
101480,2017,47569000,5151000,3211000,53447868,126024000,,,
101499,2017,698335,586737,604083,3742519,10031532,,,
101505,2017,17707393,2420391,2547813,29612927,56393981,,,
101514,2017,23145984,1741435,2107455,32218854,66539643,,,
101569,2017,4266157,8051507,705957,15686893,45149456,,,
101587,2017,27253323,2803874,541109,27598402,61350525,,,
101602,2017,2290181,1804629,885935,8341958,17204064,,,
101648,2017,1075427,473288,0,1864527,14789043,,,
101709,2017,21055382,1810698,5535097,27524831,63371265,,,
101736,2017,5880698,3919146,1638501,13462554,32046444,,,
101879,2017,43561591,1842173,2931596,48321716,110659693,,,
101897,2017,3854706,1096892,2194943,10057767,22636713,,,
101949,2017,1548016,2793950,2468830,5441558,15902816,,,
101994,2017,708868,330765,438505,2981974,7233870,,,
102030,2017,4318820,4384208,861730,13186624,32561921,,,
102067,2017,9092732,2254682,1350712,15582421,41814320,,,
102076,2017,5023707,714597,496818,6290469,19787798,,,
102094,2017,142024000,19502000,8847000,140231000,829801000,,,
102313,2017,3339048,4271467,1171615,9835113,22203500,,,
102368,2017,127437463,6444252,13137093,89882763,260913922,,,
102429,2017,6044604,4734944,1952714,17832486,39915955,,,
102553,2017,76726994,17717488,7876831,131276984,294450675,,,
102614,2017,44526560,106404154,6058320,94734553,396229241,,,
102632,2017,11369107,5031592,264392,22842169,52636060,,,
102711,2017,1264720,365,2799519,5162314,,,,
103529,2017,2133049,226,10500,224,68485061,,,
104151,2017,1250828000,208205000,4487000,810656000,2441843000,,,
104160,2017,4281817,0,0,27888034,68725679,,,
104179,2017,653725000,296447000,14201000,506363000,2109787000,,,
104346,2017,5218478,0,0,33405787,87012863,,,
104425,2017,6068885,0,943568,17692489,48619620,,,
104577,2017,3300531,158019,414215,20247721,41842193,,,
104708,2017,20149649,0,0,53873917,,,,
105136,2017,1093941,0,0,116265,889044450,,,
105145,2017,8235527,0,0,21058789,,,,
105154,2017,27838320,0,0,57896125,,,,
105206,2017,4871154,0,0,10688905,36754841,,,
105297,2017,303368,4448311,0,9242146,38767898,,,
105330,2017,237929536,23339361,1324357,219729149,578132263,,,
105349,2017,2388164,0,1059448,11788984,32982981,,,
105428,2017,10916011,0,0,32847351,,,,
105525,2017,28834580,371345,483180,62064291,185280165,,,
105668,2017,33650726,0,0,25333985,,,,
105747,2017,12439703,0,0,33179983,,,,
105792,2017,2925031,0,0,13426833,,,,
106148,2017,8278893,0,0,24045408,73714763,,,
106245,2017,50123157,14094035,12755636,65268925,213157333,,,
106263,2017,43975000,70170000,31411000,125530000,1523462000,,,
106397,2017,227456739,55165835,32460684,249330269,937313481,,,
106412,2017,7838515,13776840,2684941,19231614,75518454,,,
106449,2017,5809077,1670291,1158095,10887305,34007521,,,
106458,2017,49430696,12186497,6970118,68213233,209675316,,,
106467,2017,39450697,2329320,11926550,46197669,137368535,,,
106485,2017,11552001,1872295,2539125,22198749,50626675,,,
106625,2017,2110165,1623878,1464437,7814452,18534795,,,
106704,2017,56973390,2843164,1732490,79281659,194375904,,,
106795,2017,2229138,431548,962130,6475636,13042841,,,
106829,2017,98986,90922,441695,2839456,,,,
106883,2017,1531678,1673882,57671,3484341,12976842,,,
106980,2017,3881065,1709741,2920571,12996757,28035224,,,
106999,2017,1088031,771665,314028,5016941,12297585,,,
107071,2017,12204810,1987301,884975,22611384,61001610,,,
107318,2017,1996884,5016467,1725350,4922082,23495664,,,
107327,2017,1304857,2198651,1206213,8054754,18723833,,,
107460,2017,1485439,110791,365,8607674,23658813,,,
107488,2017,844290,843015,855953,3762217,,,,
107521,2017,1853741,1191654,1688206,5847290,12792541,,,
107549,2017,1509748,805590,372924,3566001,11201868,,,
107585,2017,3535793,1340436,883102,6240741,18542056,,,
107619,2017,881798,2420086,1062162,7473166,20690433,,,
107637,2017,2019205,946160,704520,6021291,16020055,,,
107664,2017,11887847,2959531,1111266,22371495,51371023,,,
107725,2017,1315527,972966,1443411,6186325,16184851,,,
