unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
100654,2017,1410,,8057,6301,86
100663,2017,1948,,9254,7168,87
100690,2017,4,6849,8231,6583,50
100706,2017,1203,,9587,6232,86
100724,2017,1143,,7611,6812,88
100751,2017,7512,,16494,10219,65
100760,2017,340,,5401,3686,76
100812,2017,0,,,,
100830,2017,558,,5171,5502,89
100858,2017,4487,,9030,8442,65
100937,2017,328,23846,26594,6888,99
101028,2017,293,,5972,5226,91
101073,2017,128,22313,5307,3731,84
101116,2017,20,20433,6624,5241,95
101143,2017,296,,4787,4506,75
101161,2017,1042,,5283,4937,82
101189,2017,307,19337,12340,6218,99
101240,2017,979,,5605,4802,77
101277,2017,71,9415,4128,7976,75
101286,2017,733,,6405,4994,82
101295,2017,908,,5060,5124,69
101301,2017,340,,6235,,93
101365,2017,10,24072,3641,7986,90
101435,2017,277,19913,14672,8211,100
101453,2017,1,6362,11198,,100
101462,2017,123,,5566,,91
101471,2017,235,,1656,,100
101480,2017,1294,,9476,7159,83
101499,2017,251,,4899,,94
101505,2017,1079,,4663,3725,64
101514,2017,1143,,4901,4769,64
101541,2017,86,17034,13567,8714,99
101569,2017,638,,5480,,95
101587,2017,377,,6523,6654,86
101602,2017,414,,5463,5349,87
101648,2017,275,,8662,5418,94
101675,2017,428,15837,6553,6210,100
101693,2017,228,22190,13101,6282,100
101709,2017,473,,9898,6278,88
101736,2017,751,,4712,4878,89
101879,2017,1177,,5990,4255,88
101897,2017,491,,5206,3396,84
101912,2017,386,25567,9847,6254,98
101949,2017,375,,6721,,86
101994,2017,66,,5162,,89
102030,2017,597,,5183,,91
102049,2017,916,30017,14879,8544,97
102058,2017,48,12553,2785,1849,90
102067,2017,613,,4719,,76
102076,2017,569,,6118,3087,90
102094,2017,1955,,6927,10747,80
102234,2017,392,21065,29825,9588,100
102270,2017,126,18487,1872,3519,98
102298,2017,25,15204,7110,5735,100
102313,2017,235,,4500,,81
102368,2017,1830,,7634,4527,79
102377,2017,600,30847,5826,3560,72
102395,2017,0,,,,
102429,2017,507,,4517,5540,87
102553,2017,1322,,6207,5184,70
102580,2017,6,14177,2383,3500,33
102614,2017,670,,7457,6898,77
102632,2017,118,,6565,5728,71
102669,2017,37,17866,14345,6490,95
102711,2017,189,,5131,6601,59
102845,2017,939,30511,4897,9787,75
103501,2017,421,18883,4572,6577,75
103741,2017,41,12787,5614,10820,90
103811,2017,244,16151,3562,6900,68
103893,2017,328,19029,4459,7096,84
103909,2017,205,18624,5022,7099,80
103927,2017,167,18876,4187,7581,87
103945,2017,10,26730,5782,11340,90
103954,2017,15,11078,4689,7306,100
103963,2017,1105,28416,5633,10792,80
104090,2017,881,29149,5729,9524,81
104151,2017,8185,,12081,6430,87
104160,2017,625,,5617,2754,82
104179,2017,5997,,11272,7262,83
104188,2017,24,27422,4012,4722,100
104346,2017,503,,5164,4342,65
104364,2017,,,,,
104391,2017,85,9838,3883,5074,64
104425,2017,453,,5067,4780,72
104434,2017,15,11294,6707,12081,87
104443,2017,17,11945,5777,8721,88
104504,2017,31,18572,4038,8607,32
104568,2017,120,13682,3526,5147,68
104577,2017,453,,8166,6286,42
104586,2017,599,34120,15756,13573,95
104708,2017,1698,,4387,3190,63
104717,2017,2375,20912,10181,7266,98
105145,2017,334,,4492,3699,67
105154,2017,1589,,4170,3467,58
105206,2017,174,,4538,6252,65
105215,2017,404,17011,4482,7369,74
105297,2017,118,,3480,,83
105330,2017,5010,,10044,6202,86
105349,2017,61,,5013,,36
105367,2017,0,,,,
105428,2017,790,,4596,3200,69
105482,2017,41,17333,3484,6209,51
105525,2017,2210,,4704,4257,59
105534,2017,3166,21489,5938,8981,50
105543,2017,1281,17829,5159,7571,66
105589,2017,47,24024,15122,5935,100
105659,2017,714,22562,4280,7038,73
105668,2017,109,,3834,2940,79
105677,2017,19,20442,3633,11751,32
105701,2017,17,9156,4637,9336,94
105747,2017,673,,4288,3667,44
105792,2017,441,,4400,3590,79
105899,2017,129,22368,14524,5359,98
105987,2017,0,,,,
106041,2017,791,19317,5332,8735,70
106102,2017,89,5911,5419,5307,20
106111,2017,47,13833,4309,9767,100
106148,2017,425,,5214,5298,67
106245,2017,768,,8329,6598,90
106263,2017,0,,,,
106306,2017,245,17423,4644,7159,92
106315,2017,6,19034,5492,11972,100
106324,2017,26,9928,3441,6530,65
106342,2017,200,18823,18534,5580,100
106351,2017,6,16056,5665,11600,83
106360,2017,33,11306,4216,6199,82
106397,2017,4938,,6629,7654,57
106412,2017,763,,9757,5812,93
106449,2017,565,,5063,4291,85
106458,2017,1609,,8062,5731,90
106467,2017,1819,,6352,6446,92
106485,2017,489,,6849,4872,91
106494,2017,34,10928,4069,6440,74
106546,2017,12,19398,2279,1375,50
106625,2017,327,,5660,5234,85
106704,2017,1867,,6868,8235,95
106713,2017,125,16830,7755,5896,98
106795,2017,205,,4589,,80
106810,2017,84,13889,6861,5910,100
106829,2017,47,,4866,,98
106883,2017,191,,5048,3274,76
106892,2017,274,12253,3089,3178,86
106908,2017,131,14643,4467,9543,78
106980,2017,433,,4111,4400,69
106999,2017,261,,4510,4159,89
107044,2017,1013,19317,9509,7708,95
107071,2017,742,,3514,5881,83
107080,2017,350,22089,35974,7425,100
107099,2017,7,9027,4615,5295,86
107123,2017,0,,,,
107141,2017,323,22338,15476,6769,99
107220,2017,255,12089,3111,5694,96
107293,2017,32,13008,3917,6247,91
107318,2017,143,,2979,,93
107327,2017,213,,4985,,92
107442,2017,23,14848,5309,8635,96
107460,2017,403,,4557,4567,92
107488,2017,185,,2989,,71
107512,2017,395,17934,17776,6564,99
107521,2017,124,,4919,4463,82
107549,2017,168,,5044,3610,95
107558,2017,189,17455,17962,10305,94
107585,2017,444,,4123,3693,89
107600,2017,292,16139,9213,6654,98
107619,2017,114,,5118,,89
107637,2017,141,,4569,3515,93
107655,2017,11,6608,4885,5728,91
107664,2017,461,,4978,3687,85
107725,2017,254,,5315,,93
107743,2017,120,,5586,,98
107789,2017,47,19113,4620,10284,64
107831,2017,27,18772,5190,11885,96
107840,2017,88,15682,5753,8168,82
107877,2017,113,15917,12388,5807,99
107974,2017,133,,4715,3991,72
107983,2017,846,,8676,5426,96
107992,2017,211,,7048,4463,75
108065,2017,21,7154,6183,5309,100
108092,2017,941,,5547,4860,92
108232,2017,618,30307,8322,7029,41
108348,2017,28,23345,4536,8750,100
108649,2017,78,14435,3661,5628,44
108667,2017,269,,5485,,70
108807,2017,941,,4571,4943,80
108852,2017,134,39696,9171,18207,99
108977,2017,33,9519,5983,3971,85
109040,2017,737,21760,4137,7907,69
109086,2017,1,25112,23565,10500,100
109208,2017,1265,,4674,6076,73
109350,2017,1083,,5695,3828,83
109651,2017,210,45622,16766,6055,56
109721,2017,676,21247,4710,6328,75
109730,2017,126,22518,3983,7075,90
109785,2017,1134,28784,21186,7777,97
109819,2017,1967,,5313,5524,72
109907,2017,210,,5495,,85
109934,2017,131,21635,4507,9214,89
110060,2017,23,16351,3992,2623,70
110097,2017,846,33206,18028,8661,99
110194,2017,235,25375,5506,12371,81
110219,2017,364,18901,4618,9626,82
110246,2017,1221,,5618,4647,73
110316,2017,0,,,,
110334,2017,973,,4534,5050,65
110361,2017,1146,25714,17641,7867,94
110370,2017,255,39075,22812,7886,77
110404,2017,235,24466,41408,5988,52
110413,2017,638,28241,27282,6919,97
110422,2017,4333,,5891,5900,50
110468,2017,10,18884,13346,8125,80
110486,2017,1289,,9913,5280,89
110495,2017,1330,,8875,4769,88
110510,2017,2736,,9287,4610,88
110529,2017,4079,,7957,6161,68
110538,2017,2725,,8615,5308,66
110547,2017,1257,,9363,4497,88
110556,2017,3208,,10267,4816,82
110565,2017,4274,,8436,5594,72
110574,2017,1584,,9402,5134,74
110583,2017,4143,,8454,5454,74
110592,2017,3675,,9553,3945,88
110608,2017,4422,,9782,4644,82
110617,2017,3680,,8984,5109,78
110635,2017,6129,,18319,6237,48
110644,2017,5667,,18690,4971,63
110653,2017,6540,,18824,5162,60
110662,2017,6535,,20011,5912,56
110671,2017,5345,,21249,5208,83
110680,2017,5714,,18231,5333,52
110705,2017,4970,,19558,6053,57
110714,2017,4203,,18050,5950,64
110778,2017,0,,,,
110875,2017,39,11929,4506,5158,54
110918,2017,1,22525,3365,,100
111054,2017,79,18409,4171,5916,66
111081,2017,188,51199,15401,11032,87
111188,2017,236,,7716,6877,52
111434,2017,249,,3498,9400,55
111461,2017,1478,,4248,5107,58
111513,2017,51,13546,3961,5732,43
111638,2017,29,24787,5808,7923,72
111708,2017,160,16539,6223,7602,54
111717,2017,198,16347,7624,6924,51
111726,2017,190,8091,13285,6339,57
111744,2017,131,13521,6685,7600,64
111762,2017,108,5689,9677,5796,22
111799,2017,74,7038,12579,7757,32
111887,2017,1665,,5239,6770,83
111896,2017,219,,3943,,58
111920,2017,948,,4571,5670,64
