Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
Not applicable,TRUE,-0.9643782927501313,-1.0387291084924077,Alabama,"Public, 4-year or above",City: Midsize,Master's Colleges and Universities (larger programs),-0.21882774815346692,-0.2057300984980662,-2.468472648152025,-0.7529504243905689,-0.24609102542143765,-1.247623862636563,0.13593407316316766,1.1035515314151687,FALSE,TRUE,0.13395286935939757,0.3270457798429721,-0.43864477188703305,-0.29929740165722535,-1.0990779448231112,0.6270517882659413,2.729860635518177
Not applicable,TRUE,-0.9147392316253611,-0.633326704159223,Alabama,"Public, 4-year or above",City: Midsize,Research Universities (very high research activity),1.2170782068411838,0.8211416250919155,0.18094467028391803,-0.2513322749008039,0.2633147405867752,0.0115672104771581,-0.1792049190422808,-0.5357739658732489,TRUE,TRUE,-0.8547257149241023,0.8783007877042849,-0.3766511501383493,1.5787430105175897,-1.1187591194807784,-0.7416688309475945,-0.10547392080881632
Churches of Christ,TRUE,-1.050362982221676,-1.2924922997869766,Alabama,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate Colleges--Arts & Sciences,-0.6840027729889794,-0.7196483185043797,-1.3458381911876425,-0.7529504243905689,0.008611857582668745,0.746095336460162,0.3601527693289022,1.6802611606953342,TRUE,TRUE,-1.0880880965264004,1.4320336970011467,-0.29769868437947933,0.6294351175190293,-1.0185094760175404,-1.4958178553762624,1.540849369961696
Not applicable,TRUE,-0.840126958634414,-0.2425325353095467,Alabama,"Public, 4-year or above",City: Midsize,Research Universities (very high research activity),0.030876594182479143,0.020978260823571144,0.4054715616767946,0.2502858745889611,-1.1800015964364945,-0.25076426308820043,-0.19641846228816895,-0.9969208707793215,TRUE,TRUE,-0.05171135264605421,0.44257347715423223,-0.39304781518069104,-0.06954219646164987,-0.9580080872550814,-0.7025746188453618,-0.5170547435014444
Not applicable,TRUE,-1.2381615354553266,-1.2505962623349272,Alabama,"Public, 4-year or above",City: Midsize,Master's Colleges and Universities (larger programs),-0.10701192422968803,-0.025879393990627456,-2.558283404709176,-0.4185383247307256,0.2633147405867752,-1.4574890414888497,-0.021171543878129757,0.7707932852071331,TRUE,TRUE,0.15941362936497327,-0.10695336894548009,-0.2993774897592755,0.5010130031451725,-0.993897288101416,0.4488495410243779,2.684129432996774
Not applicable,TRUE,-0.5685720948342007,0.3036054187144329,Alabama,"Public, 4-year or above",City: Small,Research Universities (high research activity),2.9323647418008405,3.2932963664363113,0.764714587905397,-0.08412622507088223,-0.24609102542143765,0.746095336460162,-1.2747752235462457,-1.2688221708509662,TRUE,TRUE,0.005406847894860548,0.18726925760837373,-0.47341367576683296,0.6678467564970527,-0.9241770484644505,0.42496488221064227,-0.8371731611512663
Not applicable,FALSE,-0.46296230286843565,-0.5626152061259785,Alabama,"Public, 4-year or above",Town: Fringe,Baccalaureate Colleges--Diverse Fields,-0.4149028896311835,-0.32714655111956314,0.6749038313482465,-0.5857443745606473,0.6029185845922503,-1.0272654248416615,-0.27400111881660966,-0.406273218885797,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.5865998807904866,-1.9861966858702156,-0.5170547435014444
Not applicable,TRUE,-1.2739692792388295,-0.4105749827015404,Alabama,"Public, 4-year or above",City: Midsize,Master's Colleges and Universities (larger programs),-0.21204460812396755,-0.1683817912785138,-0.3130144907804104,0.08307982475903945,0.43311666258951276,-1.3525564520627062,-0.03321336429519302,-1.5758027749534465,TRUE,TRUE,-0.05349654987454853,0.5416309607297745,-0.35183056069154495,-0.4566037509512404,-1.0110057601894535,-0.7999494374157156,0.3061069018838118
Not applicable,TRUE,-0.7005843347914068,0.33167614572195914,Alabama,"Public, 4-year or above",City: Small,Research Universities (high research activity),1.8843696072431857,1.9646062191901679,0.9443361010196983,0.08307982475903945,-0.7554967914296504,0.7985616311732338,-1.1346385384426616,-1.7965528722855675,TRUE,TRUE,0.1350690516829925,-0.07815849134291436,-0.4447646202164434,0.8847692006853755,-0.9081834141565858,0.42223123614182606,-1.0200979712368787
United Methodist,FALSE,0.8506747456836091,0.6826557119793278,Alabama,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate Colleges--Arts & Sciences,-0.6249682574197425,-0.6002991153599797,0.9443361010196983,-0.7529504243905689,-1.010199674433757,0.4837638628948035,0.21067363855174584,0.6316981983677606,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,0.864065629309009,1.1860797918175345,-0.74571075610846
